sweet_preference,spice_tolerance,texture_preference,flavor_intensity,period_cravings,stress_eating,gaming_snacks,hearty_meals,late_night,stress_response,celebration,weather_craving,adventure_level,cooking_preference,social_eating,quick_meal,budget_priority,instagram_behavior,comfort_food,food_risk,Personality
8,6,2,6,2,0,0,0,1,3,2,1,7,4,3,3,1,3,1,0,Sweet Adventurer
6,10,3,3,4,2,1,3,6,0,1,5,8,1,4,3,6,1,5,2,Spice Warrior
5,8,4,4,5,5,0,4,6,0,2,4,7,1,2,5,4,4,5,1,Spice Warrior
2,4,2,3,0,2,2,3,5,5,3,5,4,1,3,0,2,1,5,1,Health Guru
9,4,3,7,0,2,1,1,3,0,2,3,8,1,2,2,4,3,2,5,Sweet Adventurer
6,5,3,7,0,0,0,2,2,3,2,5,7,2,4,5,3,4,6,2,Late Night Explorer
6,2,4,4,1,3,0,0,3,3,0,1,1,2,4,2,2,4,3,2,Comfort Seeker
8,4,3,5,4,1,5,0,2,3,6,5,9,4,4,5,2,2,4,5,Social Foodie
7,7,4,6,0,1,3,1,4,1,6,0,8,0,1,2,1,2,1,0,Social Foodie
6,4,3,5,3,0,5,3,1,1,2,2,7,3,1,1,1,5,6,5,Balanced Foodie
7,4,1,8,1,4,0,1,1,3,3,1,8,3,4,2,3,4,3,5,Sweet Adventurer
6,5,4,8,0,4,4,4,1,4,0,0,5,5,2,3,3,0,5,5,Balanced Foodie
6,10,2,6,2,4,4,0,4,3,6,1,8,5,3,3,3,2,1,0,Spice Warrior
3,5,1,8,1,1,4,5,4,3,0,3,6,5,0,1,3,1,1,5,Health Guru
5,4,3,8,4,0,1,2,5,4,6,1,5,1,1,5,5,2,1,3,Balanced Foodie
7,3,3,7,5,1,3,4,5,1,0,1,8,3,2,3,5,1,0,2,Sweet Adventurer
8,6,5,8,0,0,2,0,6,3,1,4,5,0,5,3,2,1,1,4,Late Night Explorer
8,8,3,4,3,1,1,2,3,4,3,4,5,0,3,2,6,0,4,4,Late Night Explorer
7,6,2,8,4,5,3,0,3,0,2,1,4,3,3,0,4,5,1,3,Balanced Foodie
1,5,2,5,0,2,2,3,2,0,5,4,7,5,4,3,4,1,6,3,Health Guru
5,8,5,6,4,2,0,1,2,1,6,0,7,4,2,5,1,4,5,5,Spice Warrior
4,5,4,6,3,5,4,3,3,2,3,5,4,1,2,4,3,1,4,4,Balanced Foodie
7,2,4,4,2,2,0,1,4,5,0,4,3,3,0,1,3,4,2,2,Comfort Seeker
6,4,3,8,2,2,2,1,5,4,2,3,1,4,2,2,2,0,6,1,Comfort Seeker
7,4,4,5,1,1,1,1,1,3,1,0,8,5,5,3,6,1,2,5,Texture Lover
4,9,3,5,5,4,0,1,2,2,1,5,10,2,3,5,6,5,3,0,Spice Warrior
2,4,1,4,1,0,1,0,5,0,0,1,7,4,2,4,2,0,5,4,Health Guru
4,3,2,6,2,0,5,3,4,3,0,5,6,4,1,4,4,4,6,2,Health Guru
6,4,4,4,5,2,4,0,1,1,1,2,7,3,5,3,5,4,6,4,Texture Lover
8,5,3,7,2,4,1,1,2,3,4,0,6,1,1,5,4,3,0,1,Late Night Explorer
7,5,2,7,1,5,3,4,6,1,5,3,7,4,2,4,6,1,0,3,Balanced Foodie
4,8,3,6,2,1,0,0,1,1,3,4,8,3,3,1,0,1,4,1,Social Foodie
